equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
Ar(m) + O2* -> O2* + Ar,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_8ebdaeab3d31
Ar(r) + Ar -> 2 Ar,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_cc4cbdb651ed
Ar(r) + O -> Ar + O,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_2d3b511c5644
Ar(r) + O2 -> Ar + O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_fa54f8a8e792
Ar(r) + O2(v) -> O2(v) + Ar,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_f93bf35caf1e
Ar(r) + O2* -> Ar(r) + O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_4ad9cf30bc80
Ar(r) + O2* -> O2* + Ar,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_dc471d9f9a8c
O2* + Ar -> Ar + O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_470de7c7998a
O2* + O -> O + O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_953abc47a76a
O2* + O2 -> 2 O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_3d41fa9089a3
O2* + O2(v) -> O2(v) + O2,Excited-state quenching,neutral,quenching,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_c561bbf02430
Ar(m) + O2(v) -> Ar(m) + O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_6ca88b0a54fa
Ar(r) + O2(v) -> Ar(r) + O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_813c0cfa7ce0
O2(v) + Ar -> Ar + O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_d24c19b6e6eb
O2(v) + O -> O + O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_f5c7d2b1a05f
O2(v) + O2 -> 2 O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_5fcbcf3fc37b
O2* + O2(v) -> O2* + O2,Vibrational-translational (V-T) relaxation,neutral,v_t_relaxation,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_51dcf606e214
