reactants,products,id,family,type,depth,status,verdict,decided
F2_v + CF2,F2 + CF2,cand_F2_v_CF2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF2*,CF2 + CF2*,cand_CF2_v_CF2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF2*,CF3 + CF2*,cand_CF3_v_CF2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF2*,CF4 + CF2*,cand_CF4_v_CF2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF_v + CF2*,CF + CF2*,cand_CF_v_CF2*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF2*,F2 + CF2*,cand_F2_v_CF2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF3,CF2 + CF3,cand_CF2_v_CF3_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF3*,CF2 + CF3*,cand_CF2_v_CF3*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF3_v,CF2 + CF3_v,cand_CF2_v_CF3_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF2_v,CF3 + CF2_v,cand_CF3_v_CF2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF4,CF2 + CF4,cand_CF2_v_CF4_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF4*,CF2 + CF4*,cand_CF2_v_CF4*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF4_v,CF2 + CF4_v,cand_CF2_v_CF4_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF2_v,CF4 + CF2_v,cand_CF4_v_CF2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + CF_v,CF2 + CF_v,cand_CF2_v_CF_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + CF2_v,CF + CF2_v,cand_CF_v_CF2_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF2_v + C_1D,CF2 + C_1D,cand_CF2_v_C_1D_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + C_1S,CF2 + C_1S,cand_CF2_v_C_1S_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + F,CF2 + F,cand_CF2_v_F_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + F*,CF2 + F*,cand_CF2_v_F*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + F2,CF2 + F2,cand_CF2_v_F2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + F2*,CF2 + F2*,cand_CF2_v_F2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF2_v + F2_v,CF2 + F2_v,cand_CF2_v_F2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + CF2_v,F2 + CF2_v,cand_F2_v_CF2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF3,CF3 + CF3,cand_CF3_v_CF3_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF3,CF4 + CF3,cand_CF4_v_CF3_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + CF3,CF + CF3,cand_CF_v_CF3_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2 + CF3,CF4 + F,F2_CF3_to_CF4_F,neutral_neutral,reactive_scattering,1,literature_supported,doi:10.1007/s11090-013-9513-1,yes
F2_v + CF3,F2 + CF3,cand_F2_v_CF3_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF3*,CF3 + CF3*,cand_CF3_v_CF3*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF3*,CF4 + CF3*,cand_CF4_v_CF3*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF_v + CF3*,CF + CF3*,cand_CF_v_CF3*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF3*,F2 + CF3*,cand_F2_v_CF3*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF4,CF3 + CF4,cand_CF3_v_CF4_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF4*,CF3 + CF4*,cand_CF3_v_CF4*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF4_v,CF3 + CF4_v,cand_CF3_v_CF4_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF3_v,CF4 + CF3_v,cand_CF4_v_CF3_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + CF_v,CF3 + CF_v,cand_CF3_v_CF_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + CF3_v,CF + CF3_v,cand_CF_v_CF3_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF3_v + C_1D,CF3 + C_1D,cand_CF3_v_C_1D_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + C_1S,CF3 + C_1S,cand_CF3_v_C_1S_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + F,CF3 + F,cand_CF3_v_F_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + F*,CF3 + F*,cand_CF3_v_F*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + F2,CF3 + F2,cand_CF3_v_F2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + F2*,CF3 + F2*,cand_CF3_v_F2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF3_v + F2_v,CF3 + F2_v,cand_CF3_v_F2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + CF3_v,F2 + CF3_v,cand_F2_v_CF3_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF4,CF4 + CF4,cand_CF4_v_CF4_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + CF4,CF + CF4,cand_CF_v_CF4_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF4,F2 + CF4,cand_F2_v_CF4_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF4*,CF4 + CF4*,cand_CF4_v_CF4*_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF_v + CF4*,CF + CF4*,cand_CF_v_CF4*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF4*,F2 + CF4*,cand_F2_v_CF4*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + CF_v,CF4 + CF_v,cand_CF4_v_CF_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + CF4_v,CF + CF4_v,cand_CF_v_CF4_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF4_v + C_1D,CF4 + C_1D,cand_CF4_v_C_1D_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + C_1S,CF4 + C_1S,cand_CF4_v_C_1S_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + F,CF4 + F,cand_CF4_v_F_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF4_v + F*,CF4 + F*,cand_CF4_v_F*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + F2,CF4 + F2,cand_CF4_v_F2_vt,neutral_neutral,vibrational_relaxation,1,candidate,unattested,no
CF4_v + F2*,CF4 + F2*,cand_CF4_v_F2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF4_v + F2_v,CF4 + F2_v,cand_CF4_v_F2_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + CF4_v,F2 + CF4_v,cand_F2_v_CF4_v_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
CF_v + C_1D,CF + C_1D,cand_CF_v_C_1D_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + C_1S,CF + C_1S,cand_CF_v_C_1S_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + F,CF + F,cand_CF_v_F_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + F*,CF + F*,cand_CF_v_F*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + F2,CF + F2,cand_CF_v_F2_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + F2*,CF + F2*,cand_CF_v_F2*_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
CF_v + F2_v,CF + F2_v,cand_CF_v_F2_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + CF_v,F2 + CF_v,cand_F2_v_CF_v_vt,neutral_neutral,vibrational_relaxation,3,candidate,unattested,no
F2_v + C_1D,F2 + C_1D,cand_F2_v_C_1D_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + C_1S,F2 + C_1S,cand_F2_v_C_1S_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + F,F2 + F,cand_F2_v_F_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + F*,F2 + F*,cand_F2_v_F*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + F2,F2 + F2,cand_F2_v_F2_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
F2_v + F2*,F2 + F2*,cand_F2_v_F2*_vt,neutral_neutral,vibrational_relaxation,2,candidate,unattested,no
