candidate,reaction_type,matched_source,channel_scope,verdict,reason,id
e + F -> F-,Electron attachment,,,unknown,no source lists this exact equation,rxn_8fa839560004
e + F2 -> F2-,Electron attachment,,,unknown,no source lists this exact equation,rxn_900787e68127
e + Ar(m) -> Ar + e,Electron-impact deexcitation (superelastic),,,unknown,no source lists this exact equation,rxn_fa2f9066d8c2
e + Ar(r) -> Ar + e,Electron-impact deexcitation (superelastic),,,unknown,no source lists this exact equation,rxn_ed39dd867e7c
e + CF4(v) -> CF4 + e,Electron-impact deexcitation (superelastic),,,unknown,no source lists this exact equation,rxn_5d7c24fc17c1
e + CF4* -> CF4 + e,Electron-impact deexcitation (superelastic),,,unknown,no source lists this exact equation,rxn_6329d95dcf00
e + Ar- -> Ar + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_d83b0309c1b0
e + CF2- -> CF2 + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_014e0556b6e3
e + CF3- -> CF3 + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_5b166d957ba4
e + CF4- -> CF4 + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_dc8aa6d2c4c8
e + F- -> F + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_d9c95009df17
e + F2- -> F2 + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_f97da82531fe
e + CF2 -> C + F2 + e,Electron-impact dissociation,,,unknown,no source lists this exact equation,rxn_591d5ef5f188
e + CF2 -> CF + F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1, R9.",product_resolved,pass,an exact state-resolved equation is listed,rxn_c5581ea425de
e + CF3 -> CF + F2 + e,Electron-impact dissociation,,,unknown,no source lists this exact equation,rxn_fe77399ff2fa
e + CF3 -> CF2 + F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1, R8.",product_resolved,pass,an exact state-resolved equation is listed,rxn_dd01176ea9aa
e + F2 -> 2 F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1.",product_resolved,pass,an exact state-resolved equation is listed,rxn_68bca252f4bd
e + CF2 -> C- + F2,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_110f122c4147
e + CF2 -> CF- + F,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_54ac37bfe660
e + CF2 -> F- + CF,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_a315e7bb4493
e + CF2 -> F2- + C,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_348d56e67d0d
e + CF3 -> CF- + F2,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_59eaef7776fc
e + CF3 -> CF2- + F,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_2f5b482ab9b8
e + CF3 -> F- + CF2,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_ecd6e028e4af
e + CF3 -> F2- + CF,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_996a9e652c96
e + F2 -> F- + F,Dissociative electron attachment,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014).",product_resolved,unknown,the equation is listed only for a different physical process,rxn_6dfafc324ea8
e + CF2 -> C+ + F2 + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_6336b784a421
e + CF2 -> CF+ + F + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_64862319082c
e + CF3 -> CF+ + F2 + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_da9e8e657e7c
e + CF3 -> CF2+ + F + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_60237cd1c499
e + F2 -> F+ + F + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_c9dace256cc3
e + CF2+ -> C + F2,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_ae5d2a90619f
e + CF2+ -> CF + F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_465afab78ff2
e + CF3+ -> CF + F2,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_13d86263bab3
e + CF3+ -> CF2 + F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_9c1ed5854f32
e + CF4+ -> CF2 + F2,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_a59a2879ae7e
e + CF4+ -> CF3 + F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_ff1bd597dbc2
e + Ar(m) -> Ar(m) + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_6544183a7e7e
e + Ar(r) -> Ar(r) + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_4a11bdf2a171
e + Ar+ -> Ar+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_ce746e5f7015
e + Ar- -> Ar- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_f4bf18f98733
e + CF2 -> CF2 + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_cc094f67269d
e + CF2+ -> CF2+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_be8ae67e4981
e + CF2- -> CF2- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_83a12e2696b8
e + CF3 -> CF3 + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_e3434ac4545f
e + CF3+ -> CF3+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_27e712b25302
e + CF3- -> CF3- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_a8168a19d4b1
e + CF4(v) -> CF4(v) + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_1656bc69a9f1
e + CF4* -> CF4* + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_62d66062dd5a
e + CF4+ -> CF4+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_2682a600bf49
e + CF4- -> CF4- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_73d9e88db8fb
e + F -> F + e,Electron elastic scattering,registry:e_F_elastic,product_resolved,pass,an exact state-resolved equation is listed,rxn_d014713c4a78
e + F- -> F- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_35e7d26760ba
e + F2 -> F2 + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_90dfe4335d02
e + F2- -> F2- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_594dacc8bf96
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_dff2bd46b5c5
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_5ccce802fea8
e + CF2 -> CF2+ + 2 e,Electron-impact ionization,registry:e_CF2_ionization_CF2p,product_resolved,pass,an exact state-resolved equation is listed,rxn_4ee92d4ce3e7
e + CF3 -> CF3+ + 2 e,Electron-impact ionization,registry:e_CF3_ionization_CF3p,product_resolved,pass,an exact state-resolved equation is listed,rxn_4294bf8b7acd
e + CF4(v) -> CF4+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_010a6808d730
e + CF4* -> CF4+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_709e4777a50d
e + F -> F+ + 2 e,Electron-impact ionization,registry:e_F_ionization,product_resolved,pass,an exact state-resolved equation is listed,rxn_0ac0463c2879
e + F2 -> F2+ + 2 e,Electron-impact ionization,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014).",product_resolved,pass,an exact state-resolved equation is listed,rxn_209315ead1fb
e + Ar+ -> Ar,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_b9b97c9cedf9
e + CF2+ -> CF2,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_ec16906d3faf
e + CF3+ -> CF3,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_de58a3cb230b
e + CF4+ -> CF4,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_d8a4427b5aa3
e + C -> C-,Electron attachment,,,unknown,no source lists this exact equation,rxn_3853e2a7e99d
e + CF -> CF-,Electron attachment,,,unknown,no source lists this exact equation,rxn_5be48098aa6c
e + C- -> C + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_ad1698ec4b08
e + CF- -> CF + 2 e,Electron-impact detachment,,,unknown,no source lists this exact equation,rxn_4306ce027744
e + CF -> C + F + e,Electron-impact dissociation,"J. Son et al., Plasma Chemistry and Plasma Processing 34, 239-257 (2014), Table 1.",product_resolved,pass,an exact state-resolved equation is listed,rxn_7293b3dabd72
e + CF -> C- + F,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_5bf32d98fab4
e + CF -> F- + C,Dissociative electron attachment,,,unknown,no source lists this exact equation,rxn_625198a28317
e + ArF- -> Ar + F + 2 e,Dissociative electron detachment,,,unknown,no source lists this exact equation,rxn_4b92cf2ca31b
e + CF -> C+ + F + 2 e,Dissociative ionization,,,unknown,no source lists this exact equation,rxn_930388434bfa
e + ArF+ -> Ar + F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_da1d834a0e58
e + CF+ -> C + F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_dd9afcc3cd9f
e + F2+ -> 2 F,Dissociative recombination,,,unknown,no source lists this exact equation,rxn_6d3db2467a2d
e + ArF+ -> ArF+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_59cc3e31b193
e + ArF- -> ArF- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_4cf23051d253
e + C -> C + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_e2bd2667c9b8
e + C+ -> C+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_09f1cb2a3e07
e + C- -> C- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_419d56bb9cfe
e + CF -> CF + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_0464ab5556e8
e + CF+ -> CF+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_d7818029b6f1
e + CF- -> CF- + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_b92b541755c3
e + F+ -> F+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_9d75d6b4d8bd
e + F2+ -> F2+ + e,Electron elastic scattering,,,unknown,no source lists this exact equation,rxn_45c367f6bfab
e + C -> C+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_ec98e75f9eca
e + CF -> CF+ + 2 e,Electron-impact ionization,,,unknown,no source lists this exact equation,rxn_5a9db85ad5e4
e + C+ -> C,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_417b48a350cb
e + CF+ -> CF,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_828b8f807475
e + F+ -> F,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_d606d592dce3
e + F2+ -> F2,Electron-ion recombination,,,unknown,no source lists this exact equation,rxn_b864a75a4ed7
