candidate,reaction_type,verdict,reason,id
e + CF4 -> CF3- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_e1773279104f
e + CF4 -> F- + CF3,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_46b6f98027d9
e + CF4 -> F2- + CF2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_b820d11ebbfb
e + CF4 -> CF2+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_9270da68b5d8
e + CF4 -> CF3+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_4c038dd3c3f7
e + Ar -> Ar + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_c8f95c3d8ede
e + CF4 -> CF4 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_34d7414ac2cf
e + Ar -> Ar(m) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_86e8fb853dd8
e + Ar -> Ar(r) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_271084b2fc94
e + CF4 -> CF4(v) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_1264e939ac75
e + CF4 -> CF4* + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_888b1a9be272
e + Ar -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_a69a28bff768
e + CF4 -> CF4+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_3c3488db3523
e + CF2 -> CF2-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_fc076edc8d0d
e + CF3 -> CF3-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6add7c2eef73
e + F -> F-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_8fa839560004
e + F2 -> F2-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_900787e68127
e + Ar(m) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_fa2f9066d8c2
e + Ar(r) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_ed39dd867e7c
e + CF4(v) -> CF4 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_5d7c24fc17c1
e + CF4* -> CF4 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_6329d95dcf00
e + Ar- -> Ar + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d83b0309c1b0
e + CF2- -> CF2 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_014e0556b6e3
e + CF3- -> CF3 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_5b166d957ba4
e + CF4- -> CF4 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_dc8aa6d2c4c8
e + F- -> F + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d9c95009df17
e + F2- -> F2 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_f97da82531fe
e + CF2 -> C + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_591d5ef5f188
e + CF2 -> CF + F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_c5581ea425de
e + CF3 -> CF + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_fe77399ff2fa
e + CF3 -> CF2 + F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_dd01176ea9aa
e + F2 -> 2 F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_68bca252f4bd
e + CF2 -> C- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_110f122c4147
e + CF2 -> CF- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_54ac37bfe660
e + CF2 -> F- + CF,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_a315e7bb4493
e + CF2 -> F2- + C,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_348d56e67d0d
e + CF3 -> CF- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_59eaef7776fc
e + CF3 -> CF2- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_2f5b482ab9b8
e + CF3 -> F- + CF2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_ecd6e028e4af
e + CF3 -> F2- + CF,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_996a9e652c96
e + F2 -> F- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6dfafc324ea8
e + CF2 -> C+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_6336b784a421
e + CF2 -> CF+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_64862319082c
e + CF3 -> CF+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_da9e8e657e7c
e + CF3 -> CF2+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_60237cd1c499
e + F2 -> F+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_c9dace256cc3
e + CF2+ -> C + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_ae5d2a90619f
e + CF2+ -> CF + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_465afab78ff2
e + CF3+ -> CF + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_13d86263bab3
e + CF3+ -> CF2 + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_9c1ed5854f32
e + CF4+ -> CF2 + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_a59a2879ae7e
e + CF4+ -> CF3 + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_ff1bd597dbc2
e + Ar(m) -> Ar(m) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_6544183a7e7e
e + Ar(r) -> Ar(r) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_4a11bdf2a171
e + Ar+ -> Ar+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_ce746e5f7015
e + Ar- -> Ar- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_f4bf18f98733
e + CF2 -> CF2 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_cc094f67269d
e + CF2+ -> CF2+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_be8ae67e4981
e + CF2- -> CF2- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_83a12e2696b8
e + CF3 -> CF3 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_e3434ac4545f
e + CF3+ -> CF3+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_27e712b25302
e + CF3- -> CF3- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_a8168a19d4b1
e + CF4(v) -> CF4(v) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_1656bc69a9f1
e + CF4* -> CF4* + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_62d66062dd5a
e + CF4+ -> CF4+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_2682a600bf49
e + CF4- -> CF4- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_73d9e88db8fb
e + F -> F + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_d014713c4a78
e + F- -> F- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_35e7d26760ba
e + F2 -> F2 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_90dfe4335d02
e + F2- -> F2- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_594dacc8bf96
e + Ar(m) -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_dff2bd46b5c5
e + Ar(r) -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_5ccce802fea8
e + CF2 -> CF2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_4ee92d4ce3e7
e + CF3 -> CF3+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_4294bf8b7acd
e + CF4(v) -> CF4+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_010a6808d730
e + CF4* -> CF4+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_709e4777a50d
e + F -> F+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_0ac0463c2879
e + F2 -> F2+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_209315ead1fb
e + Ar+ -> Ar,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b9b97c9cedf9
e + CF2+ -> CF2,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_ec16906d3faf
e + CF3+ -> CF3,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_de58a3cb230b
e + CF4+ -> CF4,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_d8a4427b5aa3
e + C -> C-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_3853e2a7e99d
e + CF -> CF-,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_5be48098aa6c
e + C- -> C + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_ad1698ec4b08
e + CF- -> CF + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_4306ce027744
e + CF -> C + F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_7293b3dabd72
e + CF -> C- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_5bf32d98fab4
e + CF -> F- + C,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_625198a28317
e + ArF- -> Ar + F + 2 e,Dissociative electron detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_4b92cf2ca31b
e + CF -> C+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_930388434bfa
e + ArF+ -> Ar + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_da1d834a0e58
e + CF+ -> C + F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_dd9afcc3cd9f
e + F2+ -> 2 F,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_6d3db2467a2d
e + ArF+ -> ArF+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_59cc3e31b193
e + ArF- -> ArF- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_4cf23051d253
e + C -> C + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_e2bd2667c9b8
e + C+ -> C+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_09f1cb2a3e07
e + C- -> C- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_419d56bb9cfe
e + CF -> CF + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_0464ab5556e8
e + CF+ -> CF+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_d7818029b6f1
e + CF- -> CF- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_b92b541755c3
e + F+ -> F+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_9d75d6b4d8bd
e + F2+ -> F2+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_45c367f6bfab
e + C -> C+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_ec98e75f9eca
e + CF -> CF+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_5a9db85ad5e4
e + C+ -> C,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_417b48a350cb
e + CF+ -> CF,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_828b8f807475
e + F+ -> F,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_d606d592dce3
e + F2+ -> F2,Electron-ion recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b864a75a4ed7
