candidate,reaction_type,delta_h_eV,delta_g_eV,threshold_eV,verdict,reason,id
O2+ + O2(v) -> O2+ + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_a339d2371429
O2+ + O2* -> O2+ + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dbb28e568d13
O2- + O2(v) -> O2- + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_43949eda804d
O2- + O2* -> O2- + O2,Ion-induced deexcitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_ac67529bdd89
Ar+ + Ar -> Ar+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_c93e3d600f78
Ar+ + Ar -> Ar+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f07d0ba16e30
Ar+ + O2 -> Ar+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_192278ce671f
Ar+ + O2 -> Ar+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_0c51497b3a6c
Ar- + Ar -> Ar- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fab0902a6843
Ar- + Ar -> Ar- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_26b94c20754e
Ar- + O2 -> Ar- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_763194797e8c
Ar- + O2 -> Ar- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_de2e4db00652
O+ + Ar -> O+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_3afea6ddf67b
O+ + Ar -> O+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dae5325eb31b
O+ + O2 -> O+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_32887c53cfc0
O+ + O2 -> O+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_325d242a60fa
O- + Ar -> O- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5c1d1862d883
O- + Ar -> O- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_dc4f1eaed1a8
O- + O2 -> O- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_9938203e8724
O- + O2 -> O- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_1aaa5217616d
O2+ + Ar -> O2+ + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_6ece5fa184d7
O2+ + Ar -> O2+ + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_18e7a7fd5b5b
O2+ + O2 -> O2+ + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_a94bfb506276
O2+ + O2 -> O2+ + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f75feb2eb0bc
O2- + Ar -> O2- + Ar(m),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_8e59537d4986
O2- + Ar -> O2- + Ar(r),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_7cb2c47d47e0
O2- + O2 -> O2- + O2(v),Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_44de2b53da2e
O2- + O2 -> O2- + O2*,Ion-induced excitation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_07117cb5ce40
Ar+ + Ar- -> 2 Ar,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_7f218ecf9f30
Ar+ + O- -> Ar + O,Ion-ion mutual neutralization,-14.299033000000001,-14.26012763569663,,pass,reaction energy or threshold is available,rxn_7f1253ebcfb9
Ar+ + O2- -> Ar + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_5a307f1b77b9
O+ + Ar- -> Ar + O,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_70a5390f4242
O+ + O- -> 2 O,Ion-ion mutual neutralization,-12.157001000000003,,,pass,reaction energy or threshold is available,rxn_10beb5bc00af
O+ + O2- -> O + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f362c4374a2b
O2+ + Ar- -> Ar + O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_1cc12a118d26
O2+ + O- -> O + O2,Ion-ion mutual neutralization,-10.609123,,,pass,reaction energy or threshold is available,rxn_08e2f48ee28d
O2+ + O2- -> 2 O2,Ion-ion mutual neutralization,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_15fac312b7fa
O2+ + Ar -> O+ + Ar + O,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_4487814bfc3e
O2+ + O -> O+ + 2 O,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_ad2d57546439
O2+ + O2 -> O+ + O + O2,Projectile-ion dissociation,6.714032000000001,,,pass,reaction energy or threshold is available,rxn_f01e2fa9b40b
O2- + Ar -> O- + Ar + O,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_f7f35bdddeea
O2- + O -> O- + 2 O,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_688c1b736a68
O2- + O2 -> O- + O + O2,Projectile-ion dissociation,,,,unknown,one or more reactant or product states lack compatible thermochemistry,rxn_fe0ea6173b83
Ar+ + Ar -> Ar+ + Ar,Resonant charge exchange,0.0,8.648714265686214e-16,,pass,reaction energy or threshold is available,rxn_42da360d77cf
Ar- + Ar -> Ar- + Ar,Resonant charge exchange,,,,pass,reaction energy or threshold is available,rxn_2d9ccfcce5d9
O+ + O -> O+ + O,Resonant charge exchange,-4.440892098500626e-16,,,pass,reaction energy or threshold is available,rxn_7281eb34b270
O- + O -> O- + O,Resonant charge exchange,0.0,6.122983550928293e-16,,pass,reaction energy or threshold is available,rxn_650299e93852
O2+ + O2 -> O2+ + O2,Resonant charge exchange,0.0,,,pass,reaction energy or threshold is available,rxn_223a68face62
O2- + O2 -> O2- + O2,Resonant charge exchange,,,,pass,reaction energy or threshold is available,rxn_641dfc3def66
